"en_curid","outcome","name","TotalPageViews","participant"
"23680998","C","Justin Bieber",113558067,36
"23805","TT","Pope John Paul II",38369456,36
"2629332","TT","Kristen Stewart",55438548,36
"346200","NR","Kurt Angle",11699060,36
"45979","NR","Victoria Beckham",13712992,36
"5792809","NR","Angelina Jolie",68213700,36
"6162301","NR","Dakota Fanning",29506711,36
"650426","NR","Marilyn Manson",34585486,36
"6844407","C","Selena Gomez",87742946,36
"69323","NR","Justin Timberlake",39421979,36
"731111","TT","Ryan Reynolds",33408554,36
"8490390","NR","Lindsay Lohan",40252855,36
"12153654","C","Elizabeth II of the United Kingdom",54551771,37
"211518","NR","Warren Buffett",28105827,37
"2150841","NR","Lionel Messi",82454215,37
"23680998","C","Justin Bieber",113558067,37
"276392","NR","Portia de Rossi",12302051,37
"296256","NR","Jude Law",19426719,37
"3591242","NR","Corbin Bleu",6736571,37
"3747","NR","Bill Gates",54216010,37
"3841","NR","Bud Spencer",12397601,37
"39942","C","Jennifer Aniston",43727724,37
"414848","C","Kelly Clarkson",16385459,37
"4507822","NR","Cam Gigandet",9420200,37
"534366","C","Barack Obama",112536577,37
"591104","NR","Robert Trujillo",6925784,37
"60328","NR","Alanis Morissette",12497345,37
"621503","NR","Michael Bublé",16810260,37
"68323","RNN","Susan Sarandon",11565096,37
"71870","C","Johnny Depp",83016743,37
"8083","NR","Dr. Dre",29293088,37
"85406","C","Ozzy Osbourne",25287553,37
"12520860","NR","Demi Lovato",53414996,38
"1296564","NR","Kristen Bell",21506575,38
"153295","C","Daniel Radcliffe",31810849,38
"154698","RNN","Will Smith",55709750,38
"16707","NR","Kurt Cobain",46176455,38
"168540","NR","Lil Wayne",64484487,38
"1941155","NR","Taylor Momsen",16602049,38
"21111","RNN","Nicolas Cage",36527470,38
"25832","NR","Ringo Starr",19978182,38
"26274410","NR","Jeremy Irons",8309751,38
"2964059","NR","Sam Worthington",14470524,38
"31460","TT","Tom Cruise",48511575,38
"3382","C","Britney Spears",58474806,38
"4429395","C","Eminem",108953700,38
"534366","C","Barack Obama",112536577,38
"704723","NR","Neil Patrick Harris",34215346,38
"71870","TT","Johnny Depp",83016743,38
"760163","NR","Rachel McAdams",25704275,38
"80696","RNN","Cher",20241395,38
"9287211","RNN","Hilary Duff",31611872,38
"113159","NR","Hank Azaria",6887301,39
"1221476","C","Chris Hemsworth",24440640,39
"13199916","C","Taylor Lautner",40302818,39
"14206625","NR","Dianna Agron",15141270,39
"14899333","NR","Anna Torv",5572831,39
